customer_id,company_name,industry,plan_type,monthly_revenue,signup_date,churned
1,Company_1,IT,Starter,4706,2022-09-08,1
2,Company_2,Ecommerce,Starter,9874,2023-03-09,1
3,Company_3,IT,Starter,4011,2023-06-02,0
4,Company_4,Ecommerce,Growth,3811,2023-04-05,1
5,Company_5,IT,Starter,7124,2022-12-15,0
6,Company_6,Healthcare,Starter,1719,2023-01-25,1
7,Company_7,Ecommerce,Growth,911,2023-04-16,1
8,Company_8,Education,Starter,9244,2022-10-28,0
9,Company_9,Healthcare,Enterprise,3350,2022-03-13,1
10,Company_10,Healthcare,Starter,4014,2022-04-14,0
11,Company_11,Healthcare,Starter,6265,2022-12-30,1
12,Company_12,IT,Enterprise,3003,2023-07-01,0
13,Company_13,Education,Growth,9325,2022-08-13,1
14,Company_14,IT,Starter,725,2022-11-20,0
15,Company_15,Ecommerce,Enterprise,5355,2022-08-06,0
16,Company_16,Education,Starter,4539,2022-05-23,0
17,Company_17,Ecommerce,Growth,9760,2023-02-13,1
18,Company_18,Finance,Enterprise,8285,2022-04-04,1
19,Company_19,Finance,Enterprise,2821,2023-11-28,0
20,Company_20,Education,Enterprise,7868,2023-06-26,1
21,Company_21,IT,Enterprise,2076,2023-11-30,1
22,Company_22,Healthcare,Starter,5008,2023-03-22,0
23,Company_23,Healthcare,Enterprise,3127,2023-06-04,1
24,Company_24,Ecommerce,Enterprise,3458,2022-06-06,0
25,Company_25,Ecommerce,Starter,5510,2023-05-16,1
26,Company_26,Healthcare,Growth,4123,2022-03-01,1
27,Company_27,IT,Enterprise,8162,2022-03-12,0
28,Company_28,Education,Enterprise,2905,2022-09-29,0
29,Company_29,Education,Starter,9035,2022-07-25,0
30,Company_30,Healthcare,Growth,8679,2023-04-08,0
31,Company_31,Healthcare,Starter,9838,2023-07-22,0
32,Company_32,IT,Enterprise,1164,2022-08-23,1
33,Company_33,Healthcare,Starter,8623,2022-09-01,0
34,Company_34,Finance,Enterprise,9555,2023-08-14,1
35,Company_35,Education,Starter,1745,2022-04-10,0
36,Company_36,Education,Growth,1087,2023-11-21,0
37,Company_37,Healthcare,Starter,4273,2022-07-16,0
38,Company_38,Education,Starter,4763,2023-04-19,0
39,Company_39,Ecommerce,Starter,1028,2023-10-30,1
40,Company_40,Finance,Starter,6858,2023-05-13,1
41,Company_41,IT,Starter,6409,2022-01-03,1
42,Company_42,Education,Growth,7130,2023-07-24,0
43,Company_43,Healthcare,Starter,1158,2023-08-17,0
44,Company_44,IT,Enterprise,5338,2022-02-28,0
45,Company_45,Ecommerce,Starter,1131,2023-06-05,1
46,Company_46,IT,Enterprise,1313,2023-11-23,0
47,Company_47,Ecommerce,Starter,9685,2023-09-01,0
48,Company_48,Ecommerce,Enterprise,8765,2022-11-20,0
49,Company_49,Healthcare,Starter,4551,2023-02-10,0
50,Company_50,IT,Starter,7708,2023-09-29,0
51,Company_51,Finance,Enterprise,4545,2022-05-16,1
52,Company_52,Healthcare,Growth,2784,2023-03-25,0
53,Company_53,Ecommerce,Starter,9286,2022-11-03,1
54,Company_54,Finance,Growth,2091,2022-04-20,0
55,Company_55,Finance,Growth,4816,2023-09-12,0
56,Company_56,Healthcare,Enterprise,8204,2022-09-15,1
57,Company_57,Education,Growth,922,2022-01-04,0
58,Company_58,Healthcare,Starter,7439,2023-07-19,0
59,Company_59,IT,Starter,2642,2023-07-13,0
60,Company_60,Finance,Growth,2288,2022-02-12,1
61,Company_61,IT,Growth,3641,2023-11-30,0
62,Company_62,Ecommerce,Growth,2732,2022-08-31,1
63,Company_63,IT,Starter,5642,2023-02-26,0
64,Company_64,IT,Growth,834,2023-04-27,1
65,Company_65,Education,Growth,5200,2022-08-22,0
66,Company_66,Education,Growth,4764,2022-03-13,0
67,Company_67,Education,Enterprise,8985,2022-12-06,1
68,Company_68,Healthcare,Starter,9712,2022-09-29,1
69,Company_69,Ecommerce,Growth,5863,2022-11-18,1
70,Company_70,IT,Growth,9646,2022-07-14,1
71,Company_71,IT,Enterprise,9021,2023-11-18,0
72,Company_72,Healthcare,Enterprise,5343,2023-11-11,0
73,Company_73,Education,Growth,6792,2022-10-30,0
74,Company_74,Education,Enterprise,3051,2023-09-23,0
75,Company_75,IT,Growth,4900,2022-08-04,0
76,Company_76,Healthcare,Growth,7438,2023-03-29,0
77,Company_77,Finance,Enterprise,1589,2022-10-18,0
78,Company_78,Healthcare,Starter,4048,2023-11-20,1
79,Company_79,Finance,Starter,957,2022-09-08,0
80,Company_80,IT,Growth,6990,2023-10-07,1
81,Company_81,Education,Growth,6747,2022-09-07,1
82,Company_82,IT,Growth,3785,2022-06-30,0
83,Company_83,Education,Starter,9332,2022-09-13,0
84,Company_84,Education,Enterprise,8902,2023-07-27,1
85,Company_85,Education,Enterprise,8470,2023-03-13,1
86,Company_86,Education,Growth,4446,2022-09-11,1
87,Company_87,Ecommerce,Growth,4119,2022-10-09,1
88,Company_88,Finance,Growth,5702,2022-11-24,0
89,Company_89,Finance,Growth,2703,2022-08-08,0
90,Company_90,Ecommerce,Growth,7012,2022-03-05,0
91,Company_91,Ecommerce,Enterprise,520,2023-08-13,0
92,Company_92,Healthcare,Growth,6589,2023-03-06,0
93,Company_93,Ecommerce,Starter,8199,2022-08-13,0
94,Company_94,Education,Growth,6824,2022-06-19,1
95,Company_95,Ecommerce,Starter,6655,2023-08-30,0
96,Company_96,Education,Starter,7764,2022-07-06,1
97,Company_97,Education,Growth,3667,2023-04-11,1
98,Company_98,Education,Growth,7106,2022-09-16,0
99,Company_99,Ecommerce,Starter,5933,2022-08-18,1
100,Company_100,IT,Starter,4251,2022-07-24,0
101,Company_101,Finance,Growth,2074,2023-08-01,0
102,Company_102,Healthcare,Starter,2076,2022-06-17,0
