customer_id,logins_per_month,nps_score
1,33,3
2,9,1
3,82,1
4,80,5
5,40,3
6,17,6
7,73,2
8,85,10
9,10,4
10,53,5
11,31,5
12,98,4
13,92,6
14,56,5
15,88,8
16,36,9
17,51,4
18,11,2
19,59,10
20,37,9
21,73,5
22,25,8
23,18,5
24,52,3
25,7,2
26,35,10
27,73,3
28,72,10
29,96,5
30,20,4
31,34,10
32,13,1
33,40,8
34,65,4
35,89,7
36,88,2
37,29,9
38,36,2
39,74,1
40,66,4
41,54,5
42,89,8
43,99,9
44,11,10
45,15,3
46,35,7
47,10,10
48,38,4
49,21,5
50,77,2
51,49,2
52,74,5
53,89,2
54,100,9
55,31,6
56,11,2
57,47,3
58,95,7
59,9,6
60,44,6
61,36,2
62,25,3
63,90,4
64,33,4
65,33,1
66,40,6
67,8,2
68,9,2
69,60,10
70,37,1
71,30,6
72,20,5
73,75,3
74,77,5
75,60,10
76,91,4
77,70,10
78,44,4
79,65,10
80,78,4
81,23,1
82,94,9
83,20,8
84,81,6
85,75,8
86,86,5
87,61,2
88,74,2
89,13,7
90,31,7
91,53,8
92,73,9
93,39,7
94,64,3
95,77,1
96,11,5
97,46,6
98,15,8
99,88,2
100,7,10
101,32,8
102,44,2
103,96,4
104,81,2
105,59,6
106,18,7
107,27,9
108,64,7
109,16,5
110,83,7
111,32,6
112,76,1
113,67,9
114,96,8
115,56,4
116,72,6
117,39,5
118,20,9
119,40,10
120,29,5
121,21,5
122,86,8
123,66,8
124,13,7
125,24,10
126,58,10
127,62,8
128,84,1
129,89,2
130,5,7
131,34,5
132,85,10
133,33,3
134,44,10
135,64,5
136,61,2
137,37,1
138,39,10
139,61,5
140,65,6
141,47,7
142,9,8
143,70,1
144,29,9
145,31,5
146,8,10
147,75,7
148,24,8
149,66,8
150,81,9
151,48,9
152,79,8
153,47,9
154,94,4
155,100,8
156,9,3
157,61,2
158,88,3
159,15,6
160,96,8
161,85,5
162,95,2
163,12,5
164,36,9
165,83,7
166,34,8
167,41,9
168,86,7
169,66,2
170,94,5
171,92,1
172,50,4
173,17,1
174,51,3
175,30,3
176,26,5
177,64,2
178,51,2
179,63,6
180,52,2
181,83,4
182,57,2
183,17,4
184,52,9
185,83,7
186,61,8
187,87,6
188,16,4
189,36,3
190,80,4
191,5,5
192,27,2
193,35,10
194,99,7
195,70,10
196,83,1
197,8,1
198,67,8
199,21,5
200,81,9
201,60,2
202,60,8
203,58,2
204,24,8
205,100,6
206,76,6
207,41,10
208,24,8
209,19,5
210,84,10
211,28,5
212,28,3
213,8,2
214,63,6
215,81,2
216,15,5
217,82,8
218,60,2
219,44,1
220,43,4
221,5,8
222,95,4
223,60,1
224,78,7
225,7,6
226,60,2
227,55,5
228,70,2
229,23,4
230,24,2
231,62,10
232,61,2
233,50,9
234,52,5
235,54,8
236,29,6
237,18,6
238,36,8
239,52,5
240,85,6
241,37,10
242,23,6
243,44,9
244,87,7
245,32,6
246,24,2
247,9,6
248,24,3
249,57,6
250,34,9
251,78,8
252,58,3
253,87,8
254,41,2
255,60,2
256,58,1
257,52,4
258,22,1
259,62,10
